"Test","Parameter","Verdict","Time","Duration","Log","Band","Type","Version"
"26.5.7.1.1","none","PASS","4/3/2017 8:37:45 PM","00:00:55","26_5_7_1_1\GSM900 none 03-04-17 203745\","GSM900","GERAN","2.00.2"
"26.5.7.1.2","none","PASS","4/3/2017 8:38:40 PM","00:01:10","26_5_7_1_2\GSM900 none 03-04-17 203840\","GSM900","GERAN","2.00.2"
"26.5.7.1.3","none","PASS","4/3/2017 8:39:50 PM","00:01:01","26_5_7_1_3\GSM900 none 03-04-17 203950\","GSM900","GERAN","2.00.2"
"26.5.7.1.4","none","PASS","4/3/2017 8:40:51 PM","00:01:07","26_5_7_1_4\GSM900 none 03-04-17 204051\","GSM900","GERAN","2.00.2"
"26.5.7.2","none","PASS","4/3/2017 8:41:58 PM","00:00:57","26_5_7_2\GSM900 none 03-04-17 204158\","GSM900","GERAN","2.00.2"
"26.5.7.3","none","PASS","4/3/2017 8:42:55 PM","00:01:13","26_5_7_3\GSM900 none 03-04-17 204255\","GSM900","GERAN","2.00.2"
"26.6.1.1","1","PASS","4/3/2017 9:41:42 PM","00:00:55","26_6_1_1\GSM900 1 03-04-17 214142\","GSM900","GERAN","2.00.1"
"26.6.1.1","2","PASS","4/3/2017 9:42:37 PM","00:00:56","26_6_1_1\GSM900 2 03-04-17 214237\","GSM900","GERAN","2.00.1"
"26.6.1.1","3","PASS","4/3/2017 9:43:33 PM","00:00:55","26_6_1_1\GSM900 3 03-04-17 214333\","GSM900","GERAN","2.00.1"
"26.6.1.2","4 5 6 7","PASS","4/3/2017 9:44:28 PM","00:01:59","26_6_1_2\GSM900 4 5 6 7 03-04-17 214428\","GSM900","GERAN","2.00.1"
"26.6.1.4","none","PASS","4/3/2017 9:46:28 PM","00:01:01","26_6_1_4\GSM900 none 03-04-17 214628\","GSM900","GERAN","2.00.1"
"26.6.1.5","none","PASS","4/3/2017 9:47:29 PM","00:00:55","26_6_1_5\GSM900 none 03-04-17 214729\","GSM900","GERAN","2.00.1"
"26.6.2.1.1","none","PASS","4/3/2017 9:48:24 PM","00:01:53","26_6_2_1_1\GSM900 none 03-04-17 214824\","GSM900","GERAN","2.00.1"
"26.6.2.1.2","none","PASS","4/3/2017 9:50:17 PM","00:01:53","26_6_2_1_2\GSM900 none 03-04-17 215017\","GSM900","GERAN","2.00.1"
"26.6.2.1.3","none","PASS","4/3/2017 9:52:10 PM","00:01:48","26_6_2_1_3\GSM900 none 03-04-17 215210\","GSM900","GERAN","2.00.1"
"26.6.2.2","none","PASS","4/3/2017 9:53:58 PM","00:01:19","26_6_2_2\GSM900 none 03-04-17 215358\","GSM900","GERAN","2.00.1"
