"Test","Parameter","Verdict","Time","Duration","Log","Band","Type","Version"
"25.2.5.2","SDCCH","PASS","4/3/2017 9:32:19 PM","00:00:53","25_2_5_2\GSM900 SDCCH 03-04-17 213219\","GSM900","GERAN","2.01.1"
"25.2.6.1","FACCH/F","PASS","4/3/2017 9:33:12 PM","00:00:54","25_2_6_1\GSM900 FACCH_F 03-04-17 213312\","GSM900","GERAN","2.01.1"
"25.2.6.1","FACCH/H","PASS","4/3/2017 9:34:06 PM","00:00:55","25_2_6_1\GSM900 FACCH_H 03-04-17 213406\","GSM900","GERAN","2.01.1"
"25.2.6.1","SDCCH","PASS","4/3/2017 9:35:01 PM","00:00:57","25_2_6_1\GSM900 SDCCH 03-04-17 213501\","GSM900","GERAN","2.01.1"
"25.2.6.2","FACCH/F","PASS","4/3/2017 9:35:58 PM","00:01:00","25_2_6_2\GSM900 FACCH_F 03-04-17 213558\","GSM900","GERAN","2.01.1"
"25.2.6.2","FACCH/H","PASS","4/3/2017 9:36:58 PM","00:00:57","25_2_6_2\GSM900 FACCH_H 03-04-17 213658\","GSM900","GERAN","2.01.1"
"25.2.6.2","SDCCH","PASS","4/3/2017 9:37:56 PM","00:00:56","25_2_6_2\GSM900 SDCCH 03-04-17 213756\","GSM900","GERAN","2.01.1"
"25.2.7","FACCH/F","PASS","4/3/2017 9:38:52 PM","00:00:55","25_2_7\GSM900 FACCH_F 03-04-17 213852\","GSM900","GERAN","2.01.1"
"25.2.7","FACCH/H","PASS","4/3/2017 9:39:47 PM","00:00:56","25_2_7\GSM900 FACCH_H 03-04-17 213947\","GSM900","GERAN","2.01.1"
"25.2.7","SDCCH","PASS","4/3/2017 9:40:43 PM","00:00:59","25_2_7\GSM900 SDCCH 03-04-17 214043\","GSM900","GERAN","2.01.1"
"26.2.1.1","none","PASS","4/3/2017 6:00:27 PM","00:24:25","26_2_1_1\GSM900 none 03-04-17 180027\","GSM900","GERAN","2.00.2"
"26.2.1.2","c 11 2","PASS","4/3/2017 6:24:52 PM","00:38:04","26_2_1_2\GSM900 c 11 2 03-04-17 182452\","GSM900","GERAN","2.00.2"
"26.2.1.2","nc 11 2","PASS","4/3/2017 7:02:56 PM","00:37:41","26_2_1_2\GSM900 nc 11 2 03-04-17 190256\","GSM900","GERAN","2.00.2"
"26.2.1.3","none","PASS","4/3/2017 7:40:37 PM","00:03:15","26_2_1_3\GSM900 none 03-04-17 194037\","GSM900","GERAN","2.00.2"
